key,country,description,designation,points,price,province,region_1,region_2,variety,winery
65662,Argentina,"Sweet blackberry fruit and minerally darkness give this Malbec a smooth, inviting bouquet. And in the mouth, it's just as nice: light butter, juicy raspberry and plum flavors, and then dark spice on the finish. Among the best values in Argentina.",Select,89,11,Mendoza Province,Mendoza,,Malbec,Trivento
65700,Argentina,"Speechless at first as the nose offers very little. The mouth offers basic dark fruit with some tannins. Grabby at first, but better as it opens up. Rubbery but fairly ripe.",,83,9,Mendoza Province,Mendoza,,Malbec,Fantelli
65701,Argentina,"Starts with apple covered in oak-based caramel and vanilla, but loses its focus as it evolves. The palate is a mishmash of melon, citrus and papaya, while the overall take is that its less than stellar but not offensive. In this case, the organic qualifier isn't a boost.",Organica,83,9,Mendoza Province,Mendoza,,Chardonnay,Santa Julia
65706,Argentina,"Ripe, jammy and forward, with very little besides heavy berry fruit to offer. The palate is overtly oaky, with butter and wood notes. Grapy and a raw in the middle, with some displaced tannins.",Saurus Patagonia,83,9,Other,Argentina,,Merlot,Familia Schroeder
65721,Argentina,"A big blast of oak rises up from the glass, a barrier to what fruit might lie below. Once you get to the palate, there's tight but somewhat tart raspberry and a touch of leather. Not nearly as ripe and rich as the oak on the nose calls for; thus the end result is almost sour, which isn't an attribute when it comes to Malbec.",,83,9,Mendoza Province,Tupungato,,Malbec,Trumpeter
65729,Argentina,"Roasted and deep at first, which is encouraging. But it doesn't really stand the test, showing tart plum and berry flavors, out-of-place tannin and shortness on the palate. Finishes too thin and hard.",Grand,82,21,Mendoza Province,Mendoza,,Merlot,Joffré e Hijas
65773,Argentina,"Expensive Malbec, but there's no denying its quality and class. The bouquet is super smooth and silky, but also powerful. And that pretty much describes the palate: beautiful berry fruit rides a wave of richness that comes with accents of vanilla and pepper. Sexy, alluring wine with character.",Adrianna Vineyard,93,120,Mendoza Province,Mendoza,,Malbec,Bodega Catena Zapata
65786,Argentina,"Another well-polished Malbec from Trapiche's single-vineyard series. This one, from Tupungato in the Uco Valley, is the most “red” of the '06s. The fruit is juicy and bursts with acidity and power. Cherry, red plum and cassis are the lead flavors, and it finishes on a bed of chocolate and peppery spice. Good now but will benefit from another year or two in bottle.",Viña Cristina y Bibiana Coletto Single Vineyard,92,50,Mendoza Province,Mendoza,,Malbec,Trapiche
65794,Argentina,"Lively black cherry and plum aromas indicate that this slightly older wine is still vibrant and healthy. The palate is solid, tannic and medium in weight, with sweet but balanced dark-fruit flavors. This is a tasty, well-made, familiar style of Malbec.",,88,25,Mendoza Province,Luján de Cuyo,,Malbec,Carmelo Patti
65800,Argentina,"Saturated Malbec, with an opaque color and dense, sweet aromas that are slightly floral and pastry-like. Big and rich in the mouth, with bold cassis, blackberry and plum flavors floating on a soft, almost jammy structure. Finishes full and oily in texture. Rich and ready to drink now.",Old Vine,88,15,Mendoza Province,Uco Valley,,Malbec,Tierra Divina
65822,Argentina,"Like its little brother Calvulcura, this wine is Cabernet Sauvignon mixed with Merlot. It's a big boy with stewed berries, prune and licorice on the bouquet. Below that heavy nose is a palate that's sweet and ripe, and arguably too much so. If chocolate, richness and heft are your thing, this is a winner; purists, however, may wish for more tannin, structure and nuance.",,89,45,Mendoza Province,Uco Valley,,Cabernet Sauvignon-Merlot,Antucura
65825,Argentina,"Movie popcorn, baked fruits and plenty of toast and vanilla work the entry, while forward flavors of apple and pear are kicked up a notch by full acidity. And what that all means is that fruit pierces the fairly heavy oak on this wine, leaving you with a lot of the positives of New World Chardonnay. Nice in this price range.",Saurus Patagonia Select,89,14,Other,Neuquén,,Chardonnay,Familia Schroeder
65836,Argentina,"Round, pretty and ripe; a dead knock-off for modern-style Rioja. There are sun-baked aromas but not the cooked type, with a palate that pushes dark berry flavors and chocolate. A rich, almost medicinal wine, the type that can often cost $50. And here it's $9. Weighs in at 14.6%, so it should have its fans.",,89,9,Mendoza Province,Mendoza,,Tempranillo,Terra Buena
65841,Argentina,"A blasting bouquet of oak and affiliated cinnamon and spice are wave one, while next up there's dark fruit and a wealth of vanilla. This is one saturated Malbec, with menthol and tannins in spades. Only medium follow-through on the finish tempers the final grade. Imported by Southern Wine Group.",Terruño Vistalba,89,20,Mendoza Province,Mendoza,,Malbec,Enrique Foster
65846,Argentina,"If you want ripe-fruit aromas and flavors along with spice, pepper and coffee accents, this well-oaked but reasonably restrained Malbec is your ticket. The flavors run closer to raspberry and strawberry than many big Malbecs, and the texture and balance are just right. This wine delivers the maximum given its price and pedigree.",Oak Cask,89,11,Mendoza Province,Mendoza,,Malbec,Trapiche
65852,Argentina,"Heavy and flat, with dull apple aromas. The palate delivers simple yellow fruit, while the finish is soft and devoid of spunk. There isn't a whole lot more to say about this wine; it's a cipher.",,82,9,Mendoza Province,Mendoza,,Chardonnay,Big Daddy Vineyards
65853,Argentina,"Good color but the nose and palate don't offer that Cabernet lushness that most of us seek. The red-fruit nose is kind of lean, probably a reflection of Patagonia's cool climate. And the palate is peppery and starchy, with hard tannins.",Saurus Patagonia,82,9,Other,Argentina,,Cabernet Sauvignon,Familia Schroeder
65859,Argentina,"Light and candied, with strawberry drink mix as the main aroma. In the mouth, it's rather sticky and sweet, with basic characteristics. Adequate in terms of feel and balance.",,82,6,Mendoza Province,Mendoza,,Merlot,Funky Llama
65864,Argentina,"Not a whole lot to say about the soft, flat nose. It's o.k., but that's really about it. The palate, meanwhile, turns sweet, nearly to the point of candied. And the finish is downright sugary. Decent weight and feel help it along.",,82,14,Mendoza Province,Mendoza,,Chardonnay,Zolo
65866,Argentina,"Jumbled, with sweet, soft fruit that is sugary and quite strange. Not exactly off the mark but a hard wine to like. It's sweet and candied and unfocused.",,81,8,Other,San Juan,,Malbec,SolAlto
65867,Argentina,"Awkward, with early aromatics akin to sauerkraut. Airing doesn't totally shake that funky character, and the fruit seems on the cooked side. Acceptable mouthfeel. Imported by Winesellers Ltd.",,81,8,Mendoza Province,Mendoza,,Chardonnay,Santa Julia
65873,Argentina,"A lot of raisin and heavy cola aromas weigh down the bouquet in front of reduced, almost condensed baked-fruit flavors. A stewy wine with a saving streak of acidity in the middle tier.",Primacia,81,7,Mendoza Province,Mendoza,,Merlot,Cavas del Conde
65874,Argentina,"Round, red, ripe and rubbery. It weighs in at 14% but seems like a mystery wine when tasted blind. Yields little Pinot character but as generic red wine it's acceptable. Tastes mostly of anonymous berry and chocolate.",Saurus Patagonia Select,81,13,Other,Argentina,,Pinot Noir,Familia Schroeder
65875,Argentina,"Nondescript in terms of fruit flavors, with a strong hint of green pepper. Decent feel and length, with spice. But just too much green character to score better.",,81,7,Mendoza Province,Mendoza,,Merlot,Trapiche
65921,Argentina,"There's no drop-off in this wine from the excellent 2005. Expect blackberry, cassis and dry balsam wood/cedar aromas. The palate is lush and chewy, but also vital and lively. Toasty, dark berry flavors get a softening of vanilla on the finish. A winner to drink now through 2013.",Catena Alta,92,55,Mendoza Province,Mendoza,,Malbec,Bodega Catena Zapata
65933,Argentina,"Coconut and inky black fruit melt into an ultrarich and layered bouquet, and that's the perfect entree to the wine's sweet, broad, chocolaty black fruit flavors that come with a cool mint accent. Boiled down this is nothing more than a concentrated, bold Malbec that's sweet, tasty and uncomplicated. Drink now through 2011.",Grand Reserve,92,50,Mendoza Province,Mendoza,,Malbec,Andeluna
65935,Argentina,"Among full-bodied, old-vines Malbec, this is an unbridled winner. The nose is rooty and sweet, but also inky and dark. And the palate is totally pure, with snappy tannins, fine acidity and loads of black fruit flavor mixed with tobacco and coconut. Racy, juicy and delicious as it enters its prime. Drink now through 2013.",Renacer R,92,55,Mendoza Province,Perdriel,,Malbec,Bodega Renacer
65952,Argentina,"Warm black-fruit aromas along with earth and controlled oak give this Malbec a nice bouquet, and the palate features full berry flavors and a dark-spice accent. The finish is smooth, mellow and slightly chocolaty. Satisfying, legitimate Malbec in every way.",Barrica,88,14,Mendoza Province,Luján de Cuyo,,Malbec,Notro
65961,Argentina,"One of the best Argentine value Chardonnays on the market. The nose is stylish, with butterscotch, honeyed apple and vanilla notes. Smooth on the palate, with more than adequate apple and peach flavors, and then pure and fairly long on the finish. For clarity and real Chardonnay character, there aren't many better options than this, especially for $12.",,88,12,Mendoza Province,Mendoza,,Chardonnay,Alamos
65976,Argentina,"Full, dark and minty, with aromatic notes of coconut and ink. One look, sniff and sip tells you this is a dark, ripe wine with extract. It's fairly lush but still tannic and balanced, with black coffee and other dark flavors on the somewhat narrow palate and finish. Imported by Excelsior Wine & Spirits.",Golden Reserve,89,20,Mendoza Province,Mendoza,,Malbec,Trivento
65994,Argentina,"At 15% alcohol and with a nose full of prune, blazing oak and simmering blackberry jam, this is not for the weak. In fact, it may not be for the strong, because while we like the wine's sun-baked, ultraripe personality, we also acknowledge that it's teetering on the brink and probably won't age for very long.",Reserve,88,23,Mendoza Province,Tupungato,,Malbec,Andeluna
65996,Argentina,"Finca Las Moras is getting fancy with this proprietary blend of Malbec and Bonarda, and with good results. The wine offers earthy, heavily wooded aromas in front of generous black cherry and chocolate flavors. It's a saturated, superripe wine that may miss a beat or two along the tour but has its positives.",Mora Negra,88,38,Other,Tulum Valley,,Red Blend,Las Moras
66001,Argentina,"Overtly floral and jumpy, with potent aromas of perfume. Heavy in the mouth, with odd, bland flavors of applesauce and spice. Soft and sticky.",,80,8,Other,La Rioja,,Chardonnay,La Puerta
66003,Argentina,"Sweet as can be, with strong aromas of talcum powder and air freshener. Rather lean in the mouth, with a watery, processed flavor profile. Not awful but not much to write home about.",,80,10,Other,Aminga Valley,,Chardonnay,San Huberto
66007,Argentina,"Saucy and herbal, with leather and citrus peel on the nose. Heavy and undistinguished on the palate, with atypical plum and blackberry flavors. Hard to identify as Pinot Noir.",Oak Cask,80,9,Mendoza Province,Mendoza,,Pinot Noir,Trapiche
66008,Argentina,"Granular and reduced on the nose, with bulky fruit flavors and an awkward mouthfeel. Finishes rather heavy and a bit burnt.",,80,8,Other,La Rioja,,Merlot,La Puerta
66009,Argentina,"Transparent in color, with bubblegum and candied fruit on the nose. Sweet and rubbery on the palate, with a lean, burnt personality. Not horrible but surely nothing to rave about.",,80,6,Mendoza Province,Mendoza,,Tempranillo,Funky Llama
66010,Argentina,"Green and austere, with burnt grass on the nose and palate. Cranberry fruit is sharp; not a prime-timer. Barely acceptable.",Zagal,80,15,Mendoza Province,Mendoza,,Malbec,Hacienda del Plata
66065,Argentina,"Deep and juicy Malbec with aromas of violets, blackberry, coconut shavings and mineral. There's also a cedary element to the nose and palate. Otherwise, look for full-force wild berry and cassis flavors and a smooth, clean finish. Nothing awkward or forced; Doña Paula's best Malbec ever. Drink now through 2013.",Selección de Bodega,92,50,Mendoza Province,Mendoza,,Malbec,Doña Paula
66111,Argentina,"Interesting floral, herb, cherry and chocolate-mint aromas are a good preview of the racy black cherry and berry flavors that rule the palate. The acidity is a bit pointed, giving the wine an edgy feel. But with elevated flavors as well as cola and chocolate on the finish it comes across nice and ready to drink.",Alberto Furque,88,,Mendoza Province,Uco Valley,,Malbec,Bodega Aconquija
66113,Argentina,"Alamos takes Merlot to the next level with this ripe, jammy, crusty offering. The black fruit on the nose is dense and pure, the mouthfeel is round and generous, and the flavors of ripe plum and berry ring true. Layered, long and easygoing on the finish. Very nice for Argentinean Merlot.",,88,12,Mendoza Province,Mendoza,,Merlot,Alamos
66116,Argentina,"This is one of the best—if not the best—yet from this producer. Alluring plum, berry and cola aromas meet every requirement of a very good Malbec, while the palate is fresh, sturdy and shows a cool mix of red fruit, chocolate and spice. Even the finish is abnormally long and smooth for an under-$10 wine.",Elsa,88,9,Mendoza Province,San Rafael,,Malbec,Valentin Bianchi
66118,Argentina,"Pure and stout, with prime black-fruit aromas supported by toasty oak and mineral-like char. Blackberry is the lead flavor on the thick, dense palate, while the finish is solid if a little sedentary. Nicely focused and forward; probably what most people are looking for from Argentinean Malbec.",Reserva,88,15,Mendoza Province,Mendoza,,Malbec,Sur de los Andes
66121,Argentina,"Smooth and consistent Malbec from Cafayate is what Michel Torino is all about. Don David is a higher-aiming effort, and while it shows a touch of northern Argentina's herbal, sun-affected characteristics, it's also a well-balanced, formulaic Malbec that hits all the markers: good color, nice body, friendly tannins and plenty of oak.",Don David Reserve,88,15,Other,Cafayate,,Malbec,Michel Torino
66123,Argentina,"Pronounced oak is the opening blast, and amid the shy red berry and tomato leaf aromas there are hints of leather, mint and coconut. All these scents indicate that heavy wood was thrown at the wine, so while the power and goals of the wine are admirable, it's weighed down presently by a touch too much resin. Maybe that'll drift with time but that's not for sure.",Selección de Bodega Single Vineyard,88,35,Mendoza Province,Luján de Cuyo,,Malbec,Doña Paula
66125,Argentina,"A good finisher, with early minty, resiny aromas giving way to broader, more typical ripe aromas and flavors. The mouthfeel is lively courtesy of vivid core acidity, while the berry and cherry flavors come across ripe and grabby. The more air you give it the better it'll perform. Imported by Slocum & Sons.",Reserva,88,23,Mendoza Province,Luján de Cuyo,,Malbec,Enrique Foster
66126,Argentina,"Open and rewarding, with strawberry and raspberry aromas followed by ripe, clean cherry and raspberry flavors. Don't expect a ton of depth or richness, but do expect a food-friendly wine that's convincing and well made.",Saurus Patagonia Select,88,14,Other,Neuquén,,Merlot,Familia Schroeder
66132,Argentina,"Soft, easy and totally ripe, this easygoing blend of Cabernet and Merlot should win over most consumers because it's a friendly sort that's endowed with cola, plum and abundant richness. Opponents may find it soft and mealy, but no matter where you stand it should be drunk as soon as possible. Imported by SWG Imports.",Dos Fincas,88,10,Mendoza Province,Mendoza,,Cabernet Sauvignon-Merlot,Carlos Basso
66133,Argentina,"Here and there you'll find a very well-made Argentine Viognier because the country's warmth and the grape can go together. A case in point is this plump, lush specimen that sports developed lemon and orange flavors and a long, acid-propelled finish.",Finca La Linda,88,11,Mendoza Province,Mendoza,,Viognier,Luigi Bosca
66136,Argentina,"Concha Y Toro's Argentine property seems to be getting it right with Malbec. This affordable number is dark and dense, with plum and prune on the nose and concentrated berry flavors on the palate. For a meaty, structured, fully oaked Malbec, Trivento is the call. Imported by Excelsior Wine & Spirits.",Select,88,12,Mendoza Province,Mendoza,,Malbec,Trivento
66146,Argentina,"If you'd like a little character, bramble and spice to your Cab, then this is where you should go. Yes, it starts out with leather, pickle barrel and a lot of bramble bush, but every time you go back to it there's more fruit, polish, complexity and style. It's interesting, ripe and a step up from your basic street-level Cabernet.",Cruz Alta Reserve,88,13,Mendoza Province,Mendoza,,Cabernet Sauvignon,Bodegas Escorihuela
66216,Argentina,"A very rich and soft wine made from hand-squeezed Malbec grapes. There's a ton of oak on it, which comes out as coconut and cream on the nose. The palate is also creamy, with mocha, sweet blackberry and fudge flavors. Cola, coconut, coffee and other hedonistic, dark, masculine accents make this a fun and interesting wine to drink now. Best on its own or with meat.",Manos,91,90,Mendoza Province,Mendoza,,Malbec,Trapiche
66226,Argentina,"Here's a full-of-dynamite, small-batch Malbec that smells of bold berry fruit mixed with earth, smoked meats and mocha. The flavor set is pure, driving blackberry with mild herbal accents, and the finish is long, flavorful and lightly herbal. Expensive and a little fiery, but still excellent. Drink now through 2013. Only 250 cases made.",Brote Negro,91,86,Mendoza Province,Luján de Cuyo,,Malbec,Viña Alicia
66249,Argentina,"Good from the beginning, with deep berry aromas touched up by mocha, vanilla and road tar. The palate of cassis, black fruit and light herbs is juicy and lively, and while the finish is standard in terms of feel and length, it offers oak-driven coconut and spice flavors.",Selección,88,16,Mendoza Province,Mendoza,,Malbec,Alamos
66256,Argentina,"This unusual marriage of Pinot Noir and Malbec has a familiar set of aromas and flavors. There's raspberry, tobacco and lemon peel on the nose, while the palate tastes of blackberry and tobacco, with some sweetness. Not pushy, a little strange, and overall very good.",S,88,60,Other,Neuquén,,Red Blend,Familia Schroeder
66258,Argentina,"This is the kosher version of Gran Malbec made by Flechas, and it's concentrated and rich, with an oily sort of feel along with fairly soft tannins. Aromas of roasted fruits hint at the olive, baked plum and tempered herb flavors that come later, and the finish is thick and chewy. A broad, succulent but shy Malbec. Drink now.",Kosher Gran,88,30,Mendoza Province,Mendoza,,Malbec,Flechas de los Andes
66269,Argentina,"The nose is full of mellow raspberry and cherry, while the palate is fleshy and round, with blackberry and a touch of raisin. Plump, not edgy, and ready to drink, with coffee and mocha notes on the finish.",Organica,88,10,Mendoza Province,Mendoza,,Malbec,Santa Julia
66278,Argentina,"Hard black fruit and notes of tire rubber and tar indicate that this is a dark, masculine wine. And while it does offer power, it's actually quite racy and balanced in the mouth. Flavorwise, expect black raspberry and some bitter cocoa. Overall, there's nothing unripe about it.",Finca La Linda,88,11,Mendoza Province,Mendoza,,Malbec,Luigi Bosca
66285,Argentina,"Interesting Argentine Cabernet, with rooty, baked aromas that settle in and impress if given time. The palate is balanced by subtle red-fruit and earthy flavors, while the feel is stocky and grabby courtesy of strong tannins. A good wine with a lot of positives.",,88,17,Mendoza Province,Tupungato,,Cabernet Sauvignon,Finca Sophenia
66288,Argentina,"After you chop your way through the black forest of char, roasted berry and coffee aromas, you'll encounter a pretty large mass of flavors that include blackberry, cola, root beer and cinnamon. It's a fairly packed and saturated wine at 14.9%, and the finish of mocha and chocolate accentuates the wine's oak elevage. Best for those who like ripeness and size. The blend is 60% Merlot and 40% Cab Sauvignon.",Calvulcura,88,25,Mendoza Province,Uco Valley,,Merlot-Cabernet Sauvignon,Antucura
66293,Argentina,"Full, serious and ripe, with leather, animal and an underside of savory oak and bacon. Typical of the house style, the wine is lush and jammy, with syrupy black-fruit flavors setting up a composed, rich finish. Best for fans of hefty, New World reds.",Winemaker's Selection,88,13,Mendoza Province,Mendoza,,Malbec,Andeluna
66392,Argentina,"Mildly raisiny on the bouquet. The palate is round and full-bodied, with blackberry and roasted plum flavors backed by smooth tannins and a chocolaty, savory finish. Heavier and warmer than some red blends, but not clumsy or overdone.",Ciclos,88,26,Other,Cafayate,,Malbec-Merlot,Michel Torino
66400,Argentina,"Ripe and big, with campfire aromas and black fruit. There's a bulky molasses and brown sugar element to this wine along with blackberry and creamy mocha. Ripe and rich for a value-priced Malbec, but that said, it teeters on the verge of being syrupy. Best if you like creamy New World reds.",,87,12,Mendoza Province,Tupungato,,Malbec,Domaine Jean Bousquet
66416,Argentina,"Among Argentine high fliers this blend of Malbec, Petit Verdot and Tannat lacks a little. The nose is mildly stemmy and herbal, while the flavors of wild berry and cranberry are a touch reedy. Tannat and Petit Verdot are not commonplace grapes, and maybe that's why the wine seems sort of herbal and edgy despite having its good qualities.",Gala 1,87,40,Mendoza Province,Mendoza,,Red Blend,Luigi Bosca
66419,Argentina,"Here is how you get Torrontés right. The nose sheds dusty lemon and apple blossom aromas, which are followed by lemon-lime and citrus flavors. The palate has solid density and stuffing, and the finish evolves toward orange and pineapple.",,87,10,Mendoza Province,Mendoza,,Torrontés,Sur de los Andes
66421,Argentina,"Touches of tree bark, nutmeg and aged cheese give the nose diversity compared to the standard blackberry and vanilla, and in the mouth the wine is full of cola, root beer and other savory flavors in addition to berry fruit. It's a bit grabby and tannic, but overall it is quite good.",Reserve,88,17,Mendoza Province,San Rafael,,Malbec,El Rosal
66430,Argentina,"A good effort by Cavas Weinert. The wine is starting to mature, and along the road you get ripe berry aromas that broaden and improve with time. The plum, blackberry and red apple flavors are right, as is the tannin-to-acid balance. The only complaint is a mild chemical-paint thinner note at the base of the bouquet.",,88,23,Mendoza Province,Mendoza,,Malbec,Weinert
66433,Argentina,"Sweet plum, raisin and chocolate work the welcoming nose, and on the palate the wine is generous but easy to understand; the flavors are flush and ripe but none too complicated. Simply stated, this wine is healthy and well made.",Saurus Patagonia,87,9,Other,Neuquén,,Malbec,Familia Schroeder
66443,Argentina,"The opening of floral and plum aromas is nice, and that's followed by some earth and heft. The palate is fleshy and tannic, with deep raspberry and plum flavors. The depth on this wine is pretty good, yet it finishes sort of short.",Reservado,87,25,Mendoza Province,Mendoza,,Cabernet Sauvignon,Viña Amalia
66486,Argentina,"The wine has a dark, crusty top to the nose, with solid berry aromas under that. The palate is bright, zesty and features familiar plum and black cherry flavors. And the finish is straightforward but smooth. Stylish, with a little snap, crackle and pop.",Grand Reserve,90,20,Other,San Juan,,Malbec,Graffigna
66487,Argentina,"A big, full-bodied Malbec with charm. The nose is toasty, with black fruit, chocolate and other stocky, earthy aromas. Saturated in the mouth, with concentrated black fruit flavors. Shows touches of mint and spice on the finish along with coffee, licorice and chocolate. Drink now through 2012.",Ultra,90,24,Mendoza Province,Mendoza,,Malbec,Kaiken
66501,Argentina,"Inky, dark, charred and serious, and it only gets better as it opens with air. The palate has a smooth, deep, comfortable feel and the flavors are sweet, fruity, creamy and proper for Malbec. Chocolaty and rich on the finish. A very nice wine made for near-term drinking.",Serie Magno,90,15,Mendoza Province,Mendoza,,Malbec,Fantelli
66541,Argentina,"Every llama has its day, and for Funky Llama this is one to take to the bank. The olive, leather and dry oaky aromas set the stage for solid cassis, raspberry and herb flavors. The body, feel and finish seem right, so for the money it's a blue chip special.",,87,6,Mendoza Province,Mendoza,,Cabernet Sauvignon,Funky Llama
66560,Argentina,"This is Bousquet's better 2006 Malbec because it doesn't have the heavy-handed oak of the Reserva. Here you get a ton of ripe, clean fruit with secondary leather and earth aromas. The palate is lively as it hits with firm blackberry and plum flavors. Not complex but good in its simplicity. Imported by North American Beverage Group.",,87,12,Mendoza Province,Tupungato,,Malbec,Domaine Jean Bousquet
66581,Argentina,"From a global wine bottler named Xavier Flouret, this Torrontés is a full-fruited, oily specimen. The nose boasts lychee, perfume and acacia, while the palate pumps out melon and apple flavors. Big it is; precise it's not. But it's rewarding. “Flaca” may mean skinny in Spanish, but this wine is far from that.",Flaca,87,16,Other,Cafayate,,Torrontés,Xavier Flouret
66593,Argentina,"Blackberry and plum aromas have just enough leather and horsehide accents to give this wine character. The mouth is centered squarely on purple fruits like plum and wild blackberry, and the feel and finish are comfortable and fresh. Lively and with all the basics in the right places.",,87,10,Mendoza Province,Mendoza,,Merlot,Alberti 154
66594,Argentina,"Tight on the nose, with hints of resin, lemon peel and black fruit that smell inviting when all added up. The palate is juicy, arguably a bit acidic, and runs fresh with red cherry and plum flavors. Spunky and properly tannic.",,87,10,Mendoza Province,Mendoza,,Malbec-Cabernet Sauvignon,Alma de los Andes
66595,Argentina,"If a Chardonnay could suffer from something called “barrel breath,” this one would. It's like a bowl full of lacquer and heady melon, and the palate is sweet, sweet, sweet. There's vanilla, marshmallow and resin along with more typical melon and citrus. A case of more being less; just too much oak and candy to rate higher.",Catena Alta,87,35,Mendoza Province,Mendoza,,Chardonnay,Bodega Catena Zapata
66656,Argentina,"Scratchy raspberry aromas lend some harshness to the bouquet, but that's replaced soon after by earthy berry fruit notes. The palate is plump and full, with chunky, thick flavors of black fruit that are nice but quiet. Fruity, jammy and easygoing throughout. Drink now into 2012.",La Madras Vineyard,89,19,Mendoza Province,Mendoza,,Malbec,Ricardo Santos
66690,Argentina,"This is a blend of Cab Sauvignon, Malbec and Merlot that's agile, fresh and offers good mouthfeel. The nose deals crushed brick, leather, spice and light red fruit, while the flavors run toward red cherry and red currants. Uncomplicated; drink now. Imported by Quintessential Wines, LLC.",Don Valentin Lacrado,87,12,Mendoza Province,San Rafael,,Red Blend,Valentin Bianchi
66697,Argentina,"A full and pulsing wine, with leather and other animal notes to make things more interesting. The mouth is like a black-fruit explosion: muscular berry and tannins fly all over the place, ending in a lively, almost fiery finish. A bit grabby and overexcited, but good with grilled meats.",Reserve,87,18,Mendoza Province,Mendoza,,Malbec,Filus
66698,Argentina,"From San Rafael in southern Mendoza, this Cab Sauvignon picks up a little more steam and complexity every time you go back to it. The nose is your basic cassis and raspberry, while the medium-weight palate features ripe fruit finishing in a sweet cascade of milk chocolate and burnt brown sugar. Satisfying, especially if you like a hint of sweetness to your Cab.",Reserve,87,17,Mendoza Province,San Rafael,,Cabernet Sauvignon,El Rosal
66713,Argentina,"Jammy red-fruit aromas mixed with buttery oak make for a simple, sappy nose. There's more butter on the palate in addition to solid blackberry flavors. It finishes round but short, with yet another wave of barrel. A very good wine but not one that wows.",Reserva,87,18,Mendoza Province,Luján de Cuyo,,Malbec,Bodega Norton
66722,Argentina,"A light but obvious blast of coconut opens things, followed by aromas of black fruit, vanilla and toast. The palate is fresh and zesty, with snappy acidity adding tang and zest to the flavors of plum, raspberry and cassis. Overall it's composed but sort of short, while the finish is medium long and ends with a dash of mocha. Seems a little on the lean side while still showing the up side of Malbec.",D.O.C. Single Vineyard,87,25,Mendoza Province,Luján de Cuyo,,Malbec,Luigi Bosca
66726,Argentina,"Crusty on the nose, with aromas of leather, saucy fruit and alcohol. The wine is full and sweet, with ripe, sturdy flavors of blackberry, plum and raisin followed by fudge and herbs. It blends richness with agility.",,87,12,Mendoza Province,Mendoza,,Malbec,Zolo
66728,Argentina,"Dark and full-bodied, with a big bouquet of coconut, char and blackberry. The palate is thick and chunky, and that seems right given the wine's sweet black-fruit and chocolate flavors. Add in some oak, baking spice and mocha and you've got a solid, tasty, generous wine.",,87,10,Mendoza Province,Mendoza,,Malbec,Tilia
66729,Argentina,"Dry berry fruit and spice make for a solid but very common and regular type of nose. The palate is based on a lively bead of acids that lift and amplify the flavors of plum and cherry. A little hot but solid on the finish, thus it leaves a tangy final impression.",Medalla,87,,Mendoza Province,Mendoza,,Cabernet Sauvignon,Trapiche
66739,Argentina,"Chunky and full, with raisin, oak and mocha aromas. The palate comes across round and healthy, with mint and herb notes accenting plum and blackberry flavors. To justify its “gran reserva” moniker the oak is front and center, but the fruit is solid.",Gran Reserva,87,18,Mendoza Province,Mendoza,,Malbec,Avenue
66742,Argentina,"Norton's Lo Tengo (I Got It) line has a winner in this vivacious Malbec. It's light and a little candied on the nose, but also floral and attractive. The palate is medium-bodied and fresh, with raspberry, cherry and cassis flavors. Clean, mildly tannic, good acidity: what more do want from an inexpensive, trendy red?",Lo Tengo,87,11,Mendoza Province,Mendoza,,Malbec,Bodega Norton
66848,Argentina,"Dark fruit and plenty of oak on the nose, with a creamy vanilla-based palate that's sporting plenty of new wood to match the bouquet. The barrel is front and center here, but there's also solid Cab texture and power. Imported by Excelsior Wine & Spirits.",Select,86,12,Mendoza Province,Mendoza,,Cabernet Sauvignon,Trivento
66851,Argentina,"Smoke, rubber and a touch of herbs and leaves make this more traditional in style, meaning it offers Old World Bordeaux notes of earth, mineral and subdued fruit as opposed to ripe, jammy berry notes. It's not a big, aggressive wine but it does have tannic strength and intensity. Malbec, Merlot and Cab Sauvignon make up the blend.",Carrascal,86,13,Mendoza Province,Mendoza,,Bordeaux-style Red Blend,Weinert
66862,Argentina,"In a shrinking domain (wines for under $10), this junior-league Malbec shows sweet, jammy aromas and legitimate berry flavors. And that alone puts it ahead of the game. The palate is basically a mish-mash of berry flavors and raw tannins, but with food, preferably hamburgers or ribs, it will do the trick.",Santa Isabel,86,7,Mendoza Province,Mendoza,,Malbec,Nieto Senetiner
66864,Argentina,"A rambunctious young buck of a wine, with untamed aromas and plenty of aggressiveness from front to back. It clamps with firm tannins while delivering dark plum and other black-fruit flavors. Gets better with airing and may improve in the bottle. Now, it needs food to tame the beast.",Reserva,86,11,Mendoza Province,Mendoza,,Malbec,Santa Julia
66868,Argentina,"Familia Schroeder is making good, restrained wines in Neuquén. This Merlot won't rock your world but it will deliver firm, fresh raspberry flavors, food-friendly acidity and solid tannins. And it's even got some chewy sweetness.",Saurus Patagonia,86,9,Other,Neuquén,,Merlot,Familia Schroeder
66870,Argentina,"Powerful in Zinny character, this blend of Dry Creek and Russian River grapes bursts with brawny flavors of wild berries, chocolate-covered mint, tobacco and pepper, wrapped into sturdy tannins. Shows real class and character.",Familia,87,58,Mendoza Province,Mendoza,,Red Blend,Durigutti
